id,start_datetime_ist,corridor,zone,junction,event_cause_name,severity_score,requires_road_closure,resolution_hours,hour_ist,hour_sin,hour_cos,day_of_week,dow_sin,dow_cos,month,time_slot,is_peak_hour,is_weekend,is_holiday,latitude,longitude,distance_to_center_km,is_main_corridor,corridor_event_freq,zone_event_freq,junction_event_freq,event_cause_encoded,cause_base_severity,priority_encoded,is_planned,has_description,description_length,hist_closure_rate_cause,hist_closure_rate_corridor,avg_resolution_time_cause,cascade_probability,station_efficiency_score,rainfall_mm
FKID000000,2024-03-07T22:31:48,Tumkur Road,Unknown,Unknown,vehicle_breakdown,2.76,0,,22,-0.5,0.866,3,0.4339,-0.901,3,3,0,0,0,13.0400041,77.5180991,10.288,1,0.0561,0.5787,0.6929,13,2.0,1,0,1,31,0.0429,0.0262,0.98,0.0947,1.0,0.0
FKID000001,2024-01-30T09:37:24,ORR East 1,Unknown,Unknown,vehicle_breakdown,3.04,0,0.17277777777777778,9,0.7071,-0.7071,1,0.7818,0.6235,1,0,1,0,0,12.9218755,77.6451585,8.999,1,0.0299,0.5787,0.6929,13,2.0,1,0,1,16,0.0429,0.0738,0.98,0.1747,1.0,0.0
FKID000002,2023-11-11T11:48:03,Non-corridor,Central Zone 2,UrvashiJunction,others,2.5,0,,11,0.2588,-0.9659,5,-0.9749,-0.2225,11,1,0,1,0,12.955622,77.5857083,3.674,0,0.3821,0.0761,0.0007,5,2.5,0,0,1,117,0.0862,0.1211,92.72,0.0815,1.0,0.0
FKID000003,2024-03-07T23:26:55,Non-corridor,Unknown,Unknown,tree_fall,7.0,1,157.75277777777777,23,-0.2588,0.9659,3,0.4339,-0.901,3,3,0,0,0,13.0061469,77.5794348,2.776,0,0.3821,0.5787,0.6929,12,5.0,0,0,1,9,0.3944,0.1211,78.75,0.033,1.0,0.0
FKID000004,2024-01-30T10:26:32,Non-corridor,Unknown,LalbaghMainGateJunc,vehicle_breakdown,2.2,0,0.6458333333333334,10,0.5,-0.866,1,0.7818,0.6235,1,0,1,0,0,12.95398,77.5852333,3.863,0,0.3821,0.5787,0.0007,13,2.0,0,0,1,48,0.0429,0.1211,0.98,0.2239,1.0,0.0
FKID000005,2023-11-28T08:37:27,Non-corridor,North Zone 1,Unknown,accident,6.6,0,,8,0.866,-0.5,1,0.7818,0.6235,11,0,1,0,0,13.0664854,77.5998755,8.837,0,0.3821,0.0389,0.6929,0,6.0,0,0,0,0,0.0301,0.1211,0.81,0.2671,1.0,0.0
FKID000006,2024-01-30T12:56:26,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.0,0,,12,0.0,-1.0,1,0.7818,0.6235,1,1,0,0,0,12.9328703,77.4879814,13.167,0,0.3821,0.5787,0.6929,13,2.0,0,0,1,31,0.0429,0.1211,0.98,0.0447,1.0,0.0
FKID000007,2024-01-30T11:35:59,Non-corridor,Unknown,Unknown,others,2.5,0,403.37194444444447,11,0.2588,-0.9659,1,0.7818,0.6235,1,1,0,0,0,12.973175,77.6003961,1.62,0,0.3821,0.5787,0.6929,5,2.5,0,0,1,112,0.0862,0.1211,92.72,0.0815,1.0,0.0
FKID000008,2024-02-12T07:35:46,CBD 2,Unknown,QueensStatueCircle,public_event,10.0,0,,7,0.9659,-0.2588,0,0.0,1.0,2,0,1,0,0,12.97883573,77.59953728,0.996,1,0.0126,0.5787,0.0011,9,7.5,1,1,1,51,0.4643,0.068,2.0,0.2694,1.0,0.0
FKID000009,2024-01-30T10:55:50,Non-corridor,Unknown,Unknown,vehicle_breakdown,2.2,0,,10,0.5,-0.866,1,0.7818,0.6235,1,0,1,0,0,13.0373543,77.6540442,8.413,0,0.3821,0.5787,0.6929,13,2.0,0,0,0,0,0.0429,0.1211,0.98,0.1247,1.0,0.0
FKID000010,2024-03-07T23:31:40,ORR East 2,Unknown,Unknown,water_logging,5.52,0,155.805,23,-0.2588,0.9659,3,0.4339,-0.901,3,3,0,0,0,13.0008457,77.6813712,9.375,1,0.0229,0.5787,0.6929,15,4.0,1,0,1,40,0.0852,0.016,116.68,0.0485,1.0,0.0
FKID000011,2024-01-30T10:51:06,ORR West 1,Unknown,MysoreRd-RingRdJunc(Nayandanahallii),vehicle_breakdown,3.04,0,,10,0.5,-0.866,1,0.7818,0.6235,1,0,1,0,0,12.94457,77.5274017,8.81,1,0.0206,0.5787,0.0023,13,2.0,1,0,0,0,0.0429,0.0298,0.98,0.2125,1.0,0.0
FKID000012,2024-03-07T23:30:05,ORR East 2,Unknown,Unknown,water_logging,5.52,0,,23,-0.2588,0.9659,3,0.4339,-0.901,3,3,0,0,0,12.9995223,77.6827499,9.5,1,0.0229,0.5787,0.6929,15,4.0,1,0,1,61,0.0852,0.016,116.68,0.0485,1.0,0.0
FKID000013,2023-12-27T00:45:28,ORR North 1,North Zone 1,HebbalFlyoverJunc,others,3.45,0,,0,0.0,1.0,2,0.9749,-0.2225,12,3,0,0,0,13.0418933,77.594705,6.094,1,0.0337,0.0389,0.0034,5,2.5,1,0,1,16,0.0862,0.08,92.72,0.2389,1.0,0.0
FKID000014,2024-03-08T00:56:15,Old Madras Road,Unknown,Unknown,pot_holes,3.45,0,,0,0.0,1.0,4,-0.4339,-0.901,3,3,0,0,1,12.975285,77.6256902,3.475,1,0.0322,0.5787,0.6929,6,2.5,1,0,1,42,0.0242,0.0456,172.16,0.14,1.0,0.0
FKID000015,2024-03-08T00:40:21,Bellary Road 2,Unknown,Unknown,others,3.45,0,,0,0.0,1.0,4,-0.4339,-0.901,3,3,0,0,1,13.0633917,77.5933483,8.488,1,0.0464,0.5787,0.6929,5,2.5,1,0,1,10,0.0862,0.0317,92.72,0.1315,1.0,0.0
